"MTU (UTC)","Generation - Solar [MW] Day Ahead/ BZN|DK1","Generation - Solar [MW] Intraday / BZN|DK1","Generation - Solar [MW] Current / BZN|DK1","Generation - Wind Offshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore [MW] Intraday / BZN|DK1","Generation - Wind Offshore [MW] Current / BZN|DK1","Generation - Wind Onshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore [MW] Intraday / BZN|DK1","Generation - Wind Onshore [MW] Current / BZN|DK1"
"04.01.2023 16:00 - 04.01.2023 17:00","0","0","0","1050","1021","1007","2453","2720","2933"
"04.01.2023 17:00 - 04.01.2023 18:00","0","0","0","1024","1035","981","2254","2539","2833"
"04.01.2023 18:00 - 04.01.2023 19:00","0","0","0","1058","1017","1008","2256","2489","3221"
"04.01.2023 19:00 - 04.01.2023 20:00","0","0","0","1074","1071","993","2297","2425","3138"
"04.01.2023 20:00 - 04.01.2023 21:00","0","0","0","1089","1080","1039","2320","2382","3113"
"04.01.2023 21:00 - 04.01.2023 22:00","0","0","0","1101","1091","1113","2254","2235","2905"
"04.01.2023 22:00 - 04.01.2023 23:00","0","0","0","1101","1068","1061","2119","2120","2790"
"04.01.2023 23:00 - 05.01.2023 00:00","0","N/A","0","1024","N/A","1073","2354","N/A","2388"
"05.01.2023 00:00 - 05.01.2023 01:00","0","N/A","0","1031","N/A","1031","2160","N/A","2319"
"05.01.2023 01:00 - 05.01.2023 02:00","0","N/A","0","1014","N/A","1032","2019","N/A","2195"
"05.01.2023 02:00 - 05.01.2023 03:00","0","N/A","0","975","N/A","1012","2004","N/A","2136"
"05.01.2023 03:00 - 05.01.2023 04:00","0","N/A","0","983","N/A","1022","2031","N/A","2134"
"05.01.2023 04:00 - 05.01.2023 05:00","0","N/A","0","1068","N/A","1062","1952","N/A","2198"
"05.01.2023 05:00 - 05.01.2023 06:00","0","N/A","0","1026","N/A","1098","1676","N/A","2032"
"05.01.2023 06:00 - 05.01.2023 07:00","0","N/A","0","895","N/A","850","1396","N/A","1979"
"05.01.2023 07:00 - 05.01.2023 08:00","0","0","0","887","799","797","1367","1862","1862"
"05.01.2023 08:00 - 05.01.2023 09:00","10","13","14","748","668","598","1258","1677","1220"
"05.01.2023 09:00 - 05.01.2023 10:00","36","45","71","612","517","508","1043","1353","874"
"05.01.2023 10:00 - 05.01.2023 11:00","61","74","167","448","400","377","885","1108","614"
"05.01.2023 11:00 - 05.01.2023 12:00","72","84","219","334","317","161","727","834","428"
"05.01.2023 12:00 - 05.01.2023 13:00","64","75","189","271","216","77","600","622","283"
"05.01.2023 13:00 - 05.01.2023 14:00","40","46","106","208","157","51","414","431","117"
"05.01.2023 14:00 - 05.01.2023 15:00","10","11","27","182","127","35","278","290","63"
"05.01.2023 15:00 - 05.01.2023 16:00","0","0","3","175","104","73","194","211","40"
"05.01.2023 16:00 - 05.01.2023 17:00","0","0","0","157","137","115","143","178","41"
"05.01.2023 17:00 - 05.01.2023 18:00","0","0","0","150","214","210","119","164","80"
"05.01.2023 18:00 - 05.01.2023 19:00","0","0","0","174","350","352","134","203","177"
"05.01.2023 19:00 - 05.01.2023 20:00","0","0","0","232","536","453","207","303","279"
"05.01.2023 20:00 - 05.01.2023 21:00","0","0","0","381","734","568","315","474","498"
"05.01.2023 21:00 - 05.01.2023 22:00","0","0","0","568","895","737","450","693","711"
"05.01.2023 22:00 - 05.01.2023 23:00","0","0","0","713","974","997","636","933","1014"
"05.01.2023 23:00 - 06.01.2023 00:00","0","N/A","0","1002","N/A","1071","1347","N/A","1358"
"06.01.2023 00:00 - 06.01.2023 01:00","0","N/A","0","1040","N/A","1089","1695","N/A","1736"
"06.01.2023 01:00 - 06.01.2023 02:00","0","N/A","0","1038","N/A","1073","2027","N/A","2129"
"06.01.2023 02:00 - 06.01.2023 03:00","0","N/A","0","1063","N/A","1064","2309","N/A","2563"
"06.01.2023 03:00 - 06.01.2023 04:00","0","N/A","0","1092","N/A","1057","2456","N/A","2729"
"06.01.2023 04:00 - 06.01.2023 05:00","0","N/A","0","1112","N/A","1095","2458","N/A","2778"
"06.01.2023 05:00 - 06.01.2023 06:00","0","N/A","0","1103","N/A","1011","2215","N/A","2623"
"06.01.2023 06:00 - 06.01.2023 07:00","0","N/A","0","1093","N/A","1100","2004","N/A","2701"
"06.01.2023 07:00 - 06.01.2023 08:00","0","0","0","1072","1074","1077","2243","3008","3008"
"06.01.2023 08:00 - 06.01.2023 09:00","4","4","5","1044","1001","1026","2263","2960","2938"
"06.01.2023 09:00 - 06.01.2023 10:00","19","22","16","1051","1022","1115","1869","2388","2199"
"06.01.2023 10:00 - 06.01.2023 11:00","47","57","67","1079","1085","1092","1685","2017","1640"
"06.01.2023 11:00 - 06.01.2023 12:00","69","78","150","1083","1078","1027","1504","1689","1402"
"06.01.2023 12:00 - 06.01.2023 13:00","68","71","159","1072","1082","1039","1479","1540","1792"
"06.01.2023 13:00 - 06.01.2023 14:00","50","54","90","987","964","853","1442","1465","1909"
"06.01.2023 14:00 - 06.01.2023 15:00","12","14","20","954","963","802","1432","1499","1975"
"06.01.2023 15:00 - 06.01.2023 16:00","0","0","1","965","980","714","1488","1576","1968"
"06.01.2023 16:00 - 06.01.2023 17:00","0","0","0","988","991","740","1452","1592","1716"
"06.01.2023 17:00 - 06.01.2023 18:00","0","0","0","994","983","618","1254","1371","1700"
"06.01.2023 18:00 - 06.01.2023 19:00","0","0","0","994","985","781","1167","1276","1667"
"06.01.2023 19:00 - 06.01.2023 20:00","0","0","0","969","969","688","1199","1207","1579"
"06.01.2023 20:00 - 06.01.2023 21:00","0","0","0","910","908","695","1116","1124","1395"
"06.01.2023 21:00 - 06.01.2023 22:00","0","0","0","866","828","775","1024","1037","1225"
"06.01.2023 22:00 - 06.01.2023 23:00","0","0","0","780","646","716","951","928","1097"
"06.01.2023 23:00 - 07.01.2023 00:00","0","N/A","0","585","N/A","651","1062","N/A","1066"
"07.01.2023 00:00 - 07.01.2023 01:00","0","N/A","0","535","N/A","557","960","N/A","794"
"07.01.2023 01:00 - 07.01.2023 02:00","0","N/A","0","569","N/A","638","878","N/A","690"
"07.01.2023 02:00 - 07.01.2023 03:00","0","N/A","0","613","N/A","665","829","N/A","800"
"07.01.2023 03:00 - 07.01.2023 04:00","0","N/A","0","624","N/A","597","801","N/A","932"
"07.01.2023 04:00 - 07.01.2023 05:00","0","N/A","0","706","N/A","878","779","N/A","974"
"07.01.2023 05:00 - 07.01.2023 06:00","0","N/A","0","746","N/A","912","746","N/A","914"
"07.01.2023 06:00 - 07.01.2023 07:00","0","N/A","0","904","N/A","968","770","N/A","991"
"07.01.2023 07:00 - 07.01.2023 08:00","0","0","0","1036","872","867","1046","1260","1260"
"07.01.2023 08:00 - 07.01.2023 09:00","5","5","6","1065","948","965","1297","1417","1303"
"07.01.2023 09:00 - 07.01.2023 10:00","19","19","23","1096","973","1003","1349","1444","1442"
"07.01.2023 10:00 - 07.01.2023 11:00","30","32","38","1086","982","996","1482","1566","1613"
"07.01.2023 11:00 - 07.01.2023 12:00","34","40","41","1070","1030","1064","1414","1504","1690"
"07.01.2023 12:00 - 07.01.2023 13:00","31","40","36","1089","1036","1094","1393","1462","1875"
"07.01.2023 13:00 - 07.01.2023 14:00","21","29","25","1101","1071","1086","1430","1475","1764"
"07.01.2023 14:00 - 07.01.2023 15:00","6","8","11","1098","1033","1072","1488","1525","1547"
"07.01.2023 15:00 - 07.01.2023 16:00","0","0","2","1089","1036","1024","1604","1662","1662"
"07.01.2023 16:00 - 07.01.2023 17:00","0","0","0","1094","1058","1010","1727","1837","1731"
"07.01.2023 17:00 - 07.01.2023 18:00","0","0","0","1089","1055","1041","1694","1822","1646"
"07.01.2023 18:00 - 07.01.2023 19:00","0","0","0","1098","1071","1026","1762","1893","1983"
"07.01.2023 19:00 - 07.01.2023 20:00","0","0","0","1097","1097","1068","1915","1970","2074"
"07.01.2023 20:00 - 07.01.2023 21:00","0","0","0","1097","1098","1092","2072","2065","2286"
"07.01.2023 21:00 - 07.01.2023 22:00","0","0","0","1107","1104","1077","2105","2030","2480"
"07.01.2023 22:00 - 07.01.2023 23:00","0","0","0","1124","1091","1094","2055","1979","2478"
"07.01.2023 23:00 - 08.01.2023 00:00","0","N/A","0","1070","N/A","1092","2043","N/A","2389"
"08.01.2023 00:00 - 08.01.2023 01:00","0","N/A","0","1069","N/A","1078","1999","N/A","2427"
"08.01.2023 01:00 - 08.01.2023 02:00","0","N/A","0","1039","N/A","1070","1931","N/A","2441"
"08.01.2023 02:00 - 08.01.2023 03:00","0","N/A","0","1041","N/A","1097","1899","N/A","2540"
"08.01.2023 03:00 - 08.01.2023 04:00","0","N/A","0","1087","N/A","1102","1892","N/A","2575"
"08.01.2023 04:00 - 08.01.2023 05:00","0","N/A","0","1092","N/A","1106","1827","N/A","2578"
"08.01.2023 05:00 - 08.01.2023 06:00","0","N/A","0","1079","N/A","1100","1548","N/A","2178"
"08.01.2023 06:00 - 08.01.2023 07:00","0","N/A","0","1100","N/A","1110","1300","N/A","2041"
"08.01.2023 07:00 - 08.01.2023 08:00","1","1","1","1099","1065","1079","1334","1957","1957"
"08.01.2023 08:00 - 08.01.2023 09:00","16","15","13","1079","1061","1077","1318","1815","1500"
"08.01.2023 09:00 - 08.01.2023 10:00","47","46","37","1083","1059","1097","1255","1644","1233"
"08.01.2023 10:00 - 08.01.2023 11:00","67","66","64","1080","1034","1071","1384","1677","1258"
"08.01.2023 11:00 - 08.01.2023 12:00","70","66","70","1073","1006","1038","1388","1603","1186"
"08.01.2023 12:00 - 08.01.2023 13:00","69","59","75","1062","1003","1030","1356","1523","1246"
"08.01.2023 13:00 - 08.01.2023 14:00","52","40","63","1065","1024","1006","1262","1402","1245"
"08.01.2023 14:00 - 08.01.2023 15:00","15","10","17","1049","1001","945","1178","1287","1118"
"08.01.2023 15:00 - 08.01.2023 16:00","0","0","3","1066","1030","862","1196","1233","1193"
"08.01.2023 16:00 - 08.01.2023 17:00","0","0","0","1056","1052","874","1213","1251","1111"
"08.01.2023 17:00 - 08.01.2023 18:00","0","0","0","1012","1016","879","1134","1176","1060"
"08.01.2023 18:00 - 08.01.2023 19:00","0","0","0","1006","981","834","1140","1170","1076"
"08.01.2023 19:00 - 08.01.2023 20:00","0","0","0","993","978","887","1153","1139","976"
"08.01.2023 20:00 - 08.01.2023 21:00","0","0","0","998","980","890","1138","1150","929"
"08.01.2023 21:00 - 08.01.2023 22:00","0","0","0","1019","974","797","1081","1125","984"
"08.01.2023 22:00 - 08.01.2023 23:00","0","0","0","1001","948","832","1022","1060","1020"
"08.01.2023 23:00 - 09.01.2023 00:00","0","N/A","0","906","N/A","864","1095","N/A","1056"
"09.01.2023 00:00 - 09.01.2023 01:00","0","N/A","0","894","N/A","868","1082","N/A","1143"
"09.01.2023 01:00 - 09.01.2023 02:00","0","N/A","0","881","N/A","912","1085","N/A","1202"
"09.01.2023 02:00 - 09.01.2023 03:00","0","N/A","0","924","N/A","959","1116","N/A","1268"
"09.01.2023 03:00 - 09.01.2023 04:00","0","N/A","0","994","N/A","935","1145","N/A","1270"
"09.01.2023 04:00 - 09.01.2023 05:00","0","N/A","0","1007","N/A","724","1138","N/A","1294"
"09.01.2023 05:00 - 09.01.2023 06:00","0","N/A","0","888","N/A","893","1010","N/A","1239"
"09.01.2023 06:00 - 09.01.2023 07:00","0","N/A","0","749","N/A","874","864","N/A","1085"
"09.01.2023 07:00 - 09.01.2023 08:00","0","0","0","622","737","712","849","1204","1204"
"09.01.2023 08:00 - 09.01.2023 09:00","7","11","11","515","669","663","766","1124","976"
"09.01.2023 09:00 - 09.01.2023 10:00","29","44","44","534","629","640","604","932","733"
"09.01.2023 10:00 - 09.01.2023 11:00","62","80","148","571","573","693","498","800","628"
"09.01.2023 11:00 - 09.01.2023 12:00","81","94","189","575","670","650","433","674","627"
"09.01.2023 12:00 - 09.01.2023 13:00","77","83","149","517","634","587","398","612","667"
"09.01.2023 13:00 - 09.01.2023 14:00","53","53","73","418","506","522","416","549","718"
"09.01.2023 14:00 - 09.01.2023 15:00","15","13","15","374","396","510","427","506","640"
"09.01.2023 15:00 - 09.01.2023 16:00","0","0","1","374","298","420","468","520","678"
"09.01.2023 16:00 - 09.01.2023 17:00","0","0","0","340","278","416","472","539","712"
"09.01.2023 17:00 - 09.01.2023 18:00","0","0","0","366","355","444","410","475","670"
"09.01.2023 18:00 - 09.01.2023 19:00","0","0","0","403","401","501","439","461","679"
"09.01.2023 19:00 - 09.01.2023 20:00","0","0","0","445","479","551","472","476","644"
"09.01.2023 20:00 - 09.01.2023 21:00","0","0","0","510","552","558","532","514","599"
"09.01.2023 21:00 - 09.01.2023 22:00","0","0","0","604","576","646","582","554","547"
"09.01.2023 22:00 - 09.01.2023 23:00","0","0","0","640","628","613","608","566","460"
"09.01.2023 23:00 - 10.01.2023 00:00","0","N/A","0","539","N/A","610","558","N/A","522"
"10.01.2023 00:00 - 10.01.2023 01:00","0","N/A","0","549","N/A","649","565","N/A","523"
"10.01.2023 01:00 - 10.01.2023 02:00","0","N/A","0","465","N/A","525","559","N/A","500"
"10.01.2023 02:00 - 10.01.2023 03:00","0","N/A","0","436","N/A","459","555","N/A","526"
"10.01.2023 03:00 - 10.01.2023 04:00","0","N/A","0","509","N/A","568","544","N/A","601"
"10.01.2023 04:00 - 10.01.2023 05:00","0","N/A","0","519","N/A","492","542","N/A","677"
"10.01.2023 05:00 - 10.01.2023 06:00","0","N/A","0","489","N/A","412","536","N/A","716"
"10.01.2023 06:00 - 10.01.2023 07:00","0","N/A","0","502","N/A","452","535","N/A","874"
"10.01.2023 07:00 - 10.01.2023 08:00","1","1","1","533","357","354","619","914","914"
"10.01.2023 08:00 - 10.01.2023 09:00","27","27","25","479","398","323","660","914","859"
"10.01.2023 09:00 - 10.01.2023 10:00","86","85","117","463","418","331","644","832","739"
"10.01.2023 10:00 - 10.01.2023 11:00","124","126","217","513","428","555","715","912","894"
"10.01.2023 11:00 - 10.01.2023 12:00","128","130","205","576","551","607","687","923","1005"
"10.01.2023 12:00 - 10.01.2023 13:00","109","113","143","661","673","771","712","927","931"
"10.01.2023 13:00 - 10.01.2023 14:00","65","71","90","788","787","637","753","958","952"
"10.01.2023 14:00 - 10.01.2023 15:00","16","17","17","901","903","931","808","1053","994"
"10.01.2023 15:00 - 10.01.2023 16:00","0","0","2","959","977","901","973","1227","1167"
"10.01.2023 16:00 - 10.01.2023 17:00","0","0","1","1017","1009","976","1208","1501","1534"
"10.01.2023 17:00 - 10.01.2023 18:00","0","0","1","1057","1047","1073","1430","1688","1796"
"10.01.2023 18:00 - 10.01.2023 19:00","0","0","1","1093","1075","810","1775","1979","2339"
"10.01.2023 19:00 - 10.01.2023 20:00","0","0","0","1114","1099","906","2088","2254","2536"
"10.01.2023 20:00 - 10.01.2023 21:00","0","0","0","1088","1051","899","2409","2542","2886"
"10.01.2023 21:00 - 10.01.2023 22:00","0","0","0","1062","1049","1103","2596","2632","3107"
"10.01.2023 22:00 - 10.01.2023 23:00","0","0","0","1057","1030","1066","2648","2609","3252"
"10.01.2023 23:00 - 11.01.2023 00:00","0","N/A","0","1032","N/A","1034","2755","N/A","3300"
"11.01.2023 00:00 - 11.01.2023 01:00","0","N/A","0","1023","N/A","977","2686","N/A","3334"
"11.01.2023 01:00 - 11.01.2023 02:00","0","N/A","0","970","N/A","904","2671","N/A","3348"
"11.01.2023 02:00 - 11.01.2023 03:00","0","N/A","0","955","N/A","899","2718","N/A","3194"
"11.01.2023 03:00 - 11.01.2023 04:00","0","N/A","0","999","N/A","713","2722","N/A","3143"
"11.01.2023 04:00 - 11.01.2023 05:00","0","N/A","0","1041","N/A","773","2572","N/A","3013"
"11.01.2023 05:00 - 11.01.2023 06:00","0","N/A","0","1040","N/A","783","2145","N/A","2676"
"11.01.2023 06:00 - 11.01.2023 07:00","0","N/A","0","1055","N/A","1080","1700","N/A","2430"
"11.01.2023 07:00 - 11.01.2023 08:00","0","1","1","1009","1065","1065","1587","2432","2432"
"11.01.2023 08:00 - 11.01.2023 09:00","18","19","28","962","1040","782","1415","2218","1955"
"11.01.2023 09:00 - 11.01.2023 10:00","59","62","50","918","1004","730","1295","1917","1813"
"11.01.2023 10:00 - 11.01.2023 11:00","89","106","129","904","967","754","1342","1827","1735"
"11.01.2023 11:00 - 11.01.2023 12:00","99","126","202","959","1013","869","1382","1708","1802"
"11.01.2023 12:00 - 11.01.2023 13:00","94","114","168","1000","1033","1002","1420","1640","2086"
"11.01.2023 13:00 - 11.01.2023 14:00","63","68","102","1005","1056","950","1454","1610","2143"
"11.01.2023 14:00 - 11.01.2023 15:00","18","16","29","1024","1074","785","1474","1647","2134"
"11.01.2023 15:00 - 11.01.2023 16:00","0","0","5","1062","1072","857","1542","1780","2234"
"11.01.2023 16:00 - 11.01.2023 17:00","0","0","0","1064","1084","773","1590","1919","2189"
"11.01.2023 17:00 - 11.01.2023 18:00","0","0","0","1042","1062","1066","1493","1825","2028"
"11.01.2023 18:00 - 11.01.2023 19:00","0","0","0","1063","1065","1036","1507","1872","2344"
"11.01.2023 19:00 - 11.01.2023 20:00","0","0","0","1104","1091","1062","1581","1903","2284"
"11.01.2023 20:00 - 11.01.2023 21:00","0","0","0","1103","1088","1122","1622","1871","2181"
"11.01.2023 21:00 - 11.01.2023 22:00","0","0","0","1089","1071","1115","1638","1770","2167"
"11.01.2023 22:00 - 11.01.2023 23:00","0","0","0","1073","1061","1137","1736","1761","2204"
"11.01.2023 23:00 - 12.01.2023 00:00","0","N/A","0","1070","N/A","1077","1810","N/A","2148"
"12.01.2023 00:00 - 12.01.2023 01:00","0","N/A","0","1045","N/A","1103","1696","N/A","1845"
"12.01.2023 01:00 - 12.01.2023 02:00","0","N/A","0","1020","N/A","1102","1604","N/A","1618"
"12.01.2023 02:00 - 12.01.2023 03:00","0","N/A","0","1027","N/A","1064","1571","N/A","1666"
"12.01.2023 03:00 - 12.01.2023 04:00","0","N/A","0","1080","N/A","1013","1601","N/A","1398"
"12.01.2023 04:00 - 12.01.2023 05:00","0","N/A","0","1073","N/A","991","1587","N/A","1320"
"12.01.2023 05:00 - 12.01.2023 06:00","0","N/A","0","1026","N/A","918","1405","N/A","1054"
"12.01.2023 06:00 - 12.01.2023 07:00","0","N/A","0","959","N/A","767","1280","N/A","1080"
"12.01.2023 07:00 - 12.01.2023 08:00","0","0","0","884","476","506","1477","1239","1239"
"12.01.2023 08:00 - 12.01.2023 09:00","11","11","11","849","342","501","1559","1240","1020"
"12.01.2023 09:00 - 12.01.2023 10:00","33","36","19","912","324","379","1416","1082","872"
"12.01.2023 10:00 - 12.01.2023 11:00","49","54","41","765","327","382","1362","975","706"
