"MTU (UTC)","Generation - Solar [MW] Day Ahead/ BZN|DK1","Generation - Solar [MW] Intraday / BZN|DK1","Generation - Solar [MW] Current / BZN|DK1","Generation - Wind Offshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore [MW] Intraday / BZN|DK1","Generation - Wind Offshore [MW] Current / BZN|DK1","Generation - Wind Onshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore [MW] Intraday / BZN|DK1","Generation - Wind Onshore [MW] Current / BZN|DK1"
"01.01.2023 00:00 - 01.01.2023 01:00","0","N/A","0","146","N/A","190","639","N/A","698"
"01.01.2023 01:00 - 01.01.2023 02:00","0","N/A","0","328","N/A","285","735","N/A","881"
"01.01.2023 02:00 - 01.01.2023 03:00","0","N/A","0","376","N/A","306","870","N/A","861"
"01.01.2023 03:00 - 01.01.2023 04:00","0","N/A","0","429","N/A","344","1047","N/A","917"
"01.01.2023 04:00 - 01.01.2023 05:00","0","N/A","0","717","N/A","397","1308","N/A","988"
"01.01.2023 05:00 - 01.01.2023 06:00","0","N/A","0","784","N/A","198","1452","N/A","847"
"01.01.2023 06:00 - 01.01.2023 07:00","0","N/A","0","867","N/A","199","1489","N/A","966"
"01.01.2023 07:00 - 01.01.2023 08:00","0","0","0","956","264","277","1841","1400","1400"
"01.01.2023 08:00 - 01.01.2023 09:00","8","7","8","964","403","341","2114","1663","1698"
"01.01.2023 09:00 - 01.01.2023 10:00","31","28","27","1029","536","593","2180","1803","1761"
"01.01.2023 10:00 - 01.01.2023 11:00","61","50","66","1085","678","757","2442","2111","2148"
"01.01.2023 11:00 - 01.01.2023 12:00","76","56","79","1067","739","716","2430","2248","2030"
"01.01.2023 12:00 - 01.01.2023 13:00","70","48","97","1085","837","749","2434","2299","2284"
"01.01.2023 13:00 - 01.01.2023 14:00","43","34","48","1097","962","436","2463","2356","2409"
"01.01.2023 14:00 - 01.01.2023 15:00","9","8","15","1088","994","1085","2512","2387","2518"
"01.01.2023 15:00 - 01.01.2023 16:00","0","0","2","1076","985","1127","2569","2359","2607"
"01.01.2023 16:00 - 01.01.2023 17:00","0","0","0","1041","1012","1088","2385","2178","2482"
"01.01.2023 17:00 - 01.01.2023 18:00","0","0","0","943","1003","935","1740","1743","2274"
"01.01.2023 18:00 - 01.01.2023 19:00","0","0","0","980","947","901","1279","1517","2351"
"01.01.2023 19:00 - 01.01.2023 20:00","0","0","0","1036","901","957","1241","1346","1929"
"01.01.2023 20:00 - 01.01.2023 21:00","0","0","0","958","896","852","1098","1212","1712"
"01.01.2023 21:00 - 01.01.2023 22:00","0","0","0","819","875","878","987","1109","1534"
"01.01.2023 22:00 - 01.01.2023 23:00","0","0","0","652","743","852","961","1051","1331"
"01.01.2023 23:00 - 02.01.2023 00:00","0","N/A","0","729","N/A","750","1317","N/A","1060"
"02.01.2023 00:00 - 02.01.2023 01:00","0","N/A","0","686","N/A","606","1143","N/A","851"
"02.01.2023 01:00 - 02.01.2023 02:00","0","N/A","0","650","N/A","463","943","N/A","702"
"02.01.2023 02:00 - 02.01.2023 03:00","0","N/A","0","694","N/A","399","811","N/A","609"
"02.01.2023 03:00 - 02.01.2023 04:00","0","N/A","0","655","N/A","305","672","N/A","526"
"02.01.2023 04:00 - 02.01.2023 05:00","0","N/A","0","403","N/A","276","507","N/A","441"
"02.01.2023 05:00 - 02.01.2023 06:00","0","N/A","0","294","N/A","192","370","N/A","313"
"02.01.2023 06:00 - 02.01.2023 07:00","0","N/A","0","224","N/A","79","276","N/A","175"
"02.01.2023 07:00 - 02.01.2023 08:00","0","0","0","169","24","22","248","146","146"
"02.01.2023 08:00 - 02.01.2023 09:00","4","5","6","128","16","8","227","163","127"
"02.01.2023 09:00 - 02.01.2023 10:00","17","21","17","126","29","45","187","171","120"
"02.01.2023 10:00 - 02.01.2023 11:00","28","34","42","132","79","49","195","230","155"
"02.01.2023 11:00 - 02.01.2023 12:00","32","38","54","113","196","114","178","317","225"
"02.01.2023 12:00 - 02.01.2023 13:00","28","35","47","131","309","351","187","386","287"
"02.01.2023 13:00 - 02.01.2023 14:00","16","24","41","267","468","560","236","447","455"
"02.01.2023 14:00 - 02.01.2023 15:00","3","5","17","323","666","605","299","536","610"
"02.01.2023 15:00 - 02.01.2023 16:00","0","0","2","345","776","819","403","652","965"
"02.01.2023 16:00 - 02.01.2023 17:00","0","0","0","498","773","869","549","835","1409"
"02.01.2023 17:00 - 02.01.2023 18:00","0","0","0","617","857","943","685","979","1436"
"02.01.2023 18:00 - 02.01.2023 19:00","0","0","0","755","991","1025","870","1124","1888"
"02.01.2023 19:00 - 02.01.2023 20:00","0","0","0","828","1065","1056","958","1267","1901"
"02.01.2023 20:00 - 02.01.2023 21:00","0","0","0","908","1083","1098","1174","1475","2157"
"02.01.2023 21:00 - 02.01.2023 22:00","0","0","0","914","1090","1096","1362","1557","2038"
"02.01.2023 22:00 - 02.01.2023 23:00","0","0","0","955","1076","1086","1447","1518","1768"
"02.01.2023 23:00 - 03.01.2023 00:00","0","N/A","0","1043","N/A","1030","1452","N/A","1476"
"03.01.2023 00:00 - 03.01.2023 01:00","0","N/A","0","1041","N/A","1023","1337","N/A","1352"
"03.01.2023 01:00 - 03.01.2023 02:00","0","N/A","0","1007","N/A","1052","1300","N/A","1310"
"03.01.2023 02:00 - 03.01.2023 03:00","0","N/A","0","879","N/A","963","1365","N/A","1369"
"03.01.2023 03:00 - 03.01.2023 04:00","0","N/A","0","800","N/A","837","1425","N/A","1425"
"03.01.2023 04:00 - 03.01.2023 05:00","0","N/A","0","812","N/A","707","1366","N/A","1392"
"03.01.2023 05:00 - 03.01.2023 06:00","0","N/A","0","836","N/A","587","1085","N/A","1141"
"03.01.2023 06:00 - 03.01.2023 07:00","0","N/A","0","769","N/A","479","812","N/A","847"
"03.01.2023 07:00 - 03.01.2023 08:00","1","1","1","580","318","327","747","851","851"
"03.01.2023 08:00 - 03.01.2023 09:00","20","20","20","424","379","397","654","771","671"
"03.01.2023 09:00 - 03.01.2023 10:00","70","62","92","369","408","445","514","642","526"
"03.01.2023 10:00 - 03.01.2023 11:00","112","110","192","371","366","376","471","621","550"
"03.01.2023 11:00 - 03.01.2023 12:00","122","135","272","359","363","497","412","522","458"
"03.01.2023 12:00 - 03.01.2023 13:00","106","116","211","337","357","325","377","457","611"
"03.01.2023 13:00 - 03.01.2023 14:00","72","78","120","414","320","234","340","404","510"
"03.01.2023 14:00 - 03.01.2023 15:00","19","20","40","509","366","403","328","396","470"
"03.01.2023 15:00 - 03.01.2023 16:00","0","0","2","594","551","676","405","487","533"
"03.01.2023 16:00 - 03.01.2023 17:00","0","0","0","764","745","685","551","658","789"
"03.01.2023 17:00 - 03.01.2023 18:00","0","0","0","794","796","825","650","761","986"
"03.01.2023 18:00 - 03.01.2023 19:00","0","0","0","820","840","822","823","981","1292"
"03.01.2023 19:00 - 03.01.2023 20:00","0","0","0","842","861","827","1065","1238","1492"
"03.01.2023 20:00 - 03.01.2023 21:00","0","0","0","893","868","899","1277","1511","1518"
"03.01.2023 21:00 - 03.01.2023 22:00","0","0","0","944","935","904","1418","1685","1623"
"03.01.2023 22:00 - 03.01.2023 23:00","0","0","0","1009","1015","997","1521","1808","1765"
"03.01.2023 23:00 - 04.01.2023 00:00","0","N/A","0","1013","N/A","1027","2019","N/A","2017"
"04.01.2023 00:00 - 04.01.2023 01:00","0","N/A","0","1026","N/A","1060","2107","N/A","2233"
"04.01.2023 01:00 - 04.01.2023 02:00","0","N/A","0","1003","N/A","1079","2193","N/A","2377"
"04.01.2023 02:00 - 04.01.2023 03:00","0","N/A","0","1008","N/A","1032","2291","N/A","2582"
"04.01.2023 03:00 - 04.01.2023 04:00","0","N/A","0","1054","N/A","1043","2339","N/A","2671"
"04.01.2023 04:00 - 04.01.2023 05:00","0","N/A","0","1085","N/A","968","2315","N/A","2839"
"04.01.2023 05:00 - 04.01.2023 06:00","0","N/A","0","1107","N/A","1093","2038","N/A","2573"
"04.01.2023 06:00 - 04.01.2023 07:00","0","N/A","0","1141","N/A","1125","1770","N/A","2467"
"04.01.2023 07:00 - 04.01.2023 08:00","0","0","0","1136","1104","1103","1904","2685","2685"
"04.01.2023 08:00 - 04.01.2023 09:00","4","4","5","1104","1097","1080","2009","2703","2386"
"04.01.2023 09:00 - 04.01.2023 10:00","18","18","12","1114","1107","1038","2053","2571","2376"
"04.01.2023 10:00 - 04.01.2023 11:00","29","30","27","1092","1095","1032","2265","2643","2540"
"04.01.2023 11:00 - 04.01.2023 12:00","33","37","45","1044","1075","1077","2250","2579","2528"
"04.01.2023 12:00 - 04.01.2023 13:00","28","36","35","1045","1046","1085","2230","2515","2561"
"04.01.2023 13:00 - 04.01.2023 14:00","17","23","20","1044","1034","1081","2270","2479","2629"
"04.01.2023 14:00 - 04.01.2023 15:00","3","4","5","998","994","961","2292","2504","2684"
"04.01.2023 15:00 - 04.01.2023 16:00","0","0","0","997","974","943","2400","2623","2874"
