"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","01.08.2023 10:00 - 01.08.2023 11:00 (UTC)","159","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","255","37","189","96"
"BZN|DK2","01.08.2023 11:00 - 01.08.2023 12:00 (UTC)","157","n/e","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","413","38","204","122"
"BZN|DK2","01.08.2023 12:00 - 01.08.2023 13:00 (UTC)","198","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","396","38","265","133"
"BZN|DK2","01.08.2023 13:00 - 01.08.2023 14:00 (UTC)","75","n/e","n/e","n/e","43","69","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","406","38","192","145"
"BZN|DK2","01.08.2023 14:00 - 01.08.2023 15:00 (UTC)","126","n/e","n/e","n/e","45","73","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","310","38","112","160"
"BZN|DK2","01.08.2023 15:00 - 01.08.2023 16:00 (UTC)","128","n/e","n/e","n/e","45","73","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","184","39","126","141"
"BZN|DK2","01.08.2023 16:00 - 01.08.2023 17:00 (UTC)","130","n/e","n/e","n/e","43","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","40","183","129"
"BZN|DK2","01.08.2023 17:00 - 01.08.2023 18:00 (UTC)","174","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","59","40","223","146"
"BZN|DK2","01.08.2023 18:00 - 01.08.2023 19:00 (UTC)","134","n/e","n/e","n/e","44","72","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","13","39","413","198"
"BZN|DK2","01.08.2023 19:00 - 01.08.2023 20:00 (UTC)","224","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","40","474","215"
"BZN|DK2","01.08.2023 20:00 - 01.08.2023 21:00 (UTC)","241","n/e","n/e","n/e","47","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","680","220"
"BZN|DK2","01.08.2023 21:00 - 01.08.2023 22:00 (UTC)","231","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","758","210"
"BZN|DK2","01.08.2023 22:00 - 01.08.2023 23:00 (UTC)","241","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","837","221"
"BZN|DK2","01.08.2023 23:00 - 02.08.2023 00:00 (UTC)","239","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","734","199"
"BZN|DK2","02.08.2023 00:00 - 02.08.2023 01:00 (UTC)","240","n/e","n/e","n/e","45","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","631","164"
"BZN|DK2","02.08.2023 01:00 - 02.08.2023 02:00 (UTC)","183","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","39","557","141"
"BZN|DK2","02.08.2023 02:00 - 02.08.2023 03:00 (UTC)","155","n/e","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","40","508","127"
"BZN|DK2","02.08.2023 03:00 - 02.08.2023 04:00 (UTC)","224","n/e","n/e","n/e","45","73","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","40","365","101"
"BZN|DK2","02.08.2023 04:00 - 02.08.2023 05:00 (UTC)","219","n/e","n/e","n/e","45","73","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","29","39","378","77"
"BZN|DK2","02.08.2023 05:00 - 02.08.2023 06:00 (UTC)","216","n/e","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","110","39","301","67"
"BZN|DK2","02.08.2023 06:00 - 02.08.2023 07:00 (UTC)","222","n/e","n/e","n/e","45","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","169","39","205","71"
"BZN|DK2","02.08.2023 07:00 - 02.08.2023 08:00 (UTC)","221","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","293","37","173","70"
"BZN|DK2","02.08.2023 08:00 - 02.08.2023 09:00 (UTC)","147","n/e","n/e","n/e","43","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","400","39","156","66"
