"MTU (UTC)","Generation - Solar [MW] Day Ahead/ BZN|DK1","Generation - Solar [MW] Intraday / BZN|DK1","Generation - Solar [MW] Current / BZN|DK1","Generation - Wind Offshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore [MW] Intraday / BZN|DK1","Generation - Wind Offshore [MW] Current / BZN|DK1","Generation - Wind Onshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore [MW] Intraday / BZN|DK1","Generation - Wind Onshore [MW] Current / BZN|DK1"
"01.01.2024 00:00 - 01.01.2024 01:00","0","0","0","953","1040","1040","1447","1231","1231"
"01.01.2024 01:00 - 01.01.2024 02:00","0","0","0","924","1015","1015","1352","1143","1143"
"01.01.2024 02:00 - 01.01.2024 03:00","0","0","0","899","963","963","1314","1117","1117"
"01.01.2024 03:00 - 01.01.2024 04:00","0","0","0","871","936","936","1196","1070","1070"
"01.01.2024 04:00 - 01.01.2024 05:00","0","0","0","844","660","660","1032","978","978"
"01.01.2024 05:00 - 01.01.2024 06:00","0","0","0","829","663","663","852","959","959"
"01.01.2024 06:00 - 01.01.2024 07:00","0","0","0","820","594","594","773","1071","1071"
"01.01.2024 07:00 - 01.01.2024 08:00","0","0","0","815","667","655","857","1220","1220"
"01.01.2024 08:00 - 01.01.2024 09:00","5","5","4","798","691","551","883","1253","1189"
"01.01.2024 09:00 - 01.01.2024 10:00","21","21","23","755","696","876","847","1225","1144"
"01.01.2024 10:00 - 01.01.2024 11:00","35","35","31","712","697","833","856","1202","1222"
"01.01.2024 11:00 - 01.01.2024 12:00","39","39","39","674","674","676","788","1151","1178"
"01.01.2024 12:00 - 01.01.2024 13:00","34","34","41","629","632","519","753","1115","1180"
"01.01.2024 13:00 - 01.01.2024 14:00","19","19","25","586","607","432","744","1100","1193"
"01.01.2024 14:00 - 01.01.2024 15:00","3","3","4","559","597","396","770","1099","1216"
"01.01.2024 15:00 - 01.01.2024 16:00","0","0","0","544","609","443","824","1128","1348"
"01.01.2024 16:00 - 01.01.2024 17:00","0","0","0","549","650","483","833","1138","1402"
"01.01.2024 17:00 - 01.01.2024 18:00","0","0","0","586","690","552","791","1076","1396"
"01.01.2024 18:00 - 01.01.2024 19:00","0","0","0","629","737","623","819","1089","1519"
"01.01.2024 19:00 - 01.01.2024 20:00","0","0","0","650","765","629","880","1093","1485"
"01.01.2024 20:00 - 01.01.2024 21:00","0","0","0","672","770","774","933","1136","1448"
"01.01.2024 21:00 - 01.01.2024 22:00","0","0","0","701","785","758","960","1142","1518"
"01.01.2024 22:00 - 01.01.2024 23:00","0","0","0","732","804","807","976","1161","1538"
"01.01.2024 23:00 - 02.01.2024 00:00","0","0","0","708","803","803","1353","1497","1497"
"02.01.2024 00:00 - 02.01.2024 01:00","0","0","0","688","633","633","1295","1510","1510"
"02.01.2024 01:00 - 02.01.2024 02:00","0","0","0","683","581","581","1270","1485","1485"
"02.01.2024 02:00 - 02.01.2024 03:00","0","0","0","703","504","504","1316","1500","1500"
"02.01.2024 03:00 - 02.01.2024 04:00","0","0","0","768","733","733","1311","1520","1520"
"02.01.2024 04:00 - 02.01.2024 05:00","0","0","0","856","795","795","1259","1648","1648"
"02.01.2024 05:00 - 02.01.2024 06:00","0","0","0","938","998","998","1164","1711","1711"
"02.01.2024 06:00 - 02.01.2024 07:00","0","0","0","990","1075","1075","1205","2003","2003"
"02.01.2024 07:00 - 02.01.2024 08:00","0","0","0","1005","1071","1073","1562","2421","2421"
"02.01.2024 08:00 - 02.01.2024 09:00","5","5","4","1008","1059","1069","1883","2666","2608"
"02.01.2024 09:00 - 02.01.2024 10:00","22","22","28","1009","1046","1073","2069","2703","2763"
"02.01.2024 10:00 - 02.01.2024 11:00","35","35","48","1009","1033","1071","2361","2837","3033"
"02.01.2024 11:00 - 02.01.2024 12:00","40","40","59","1009","1027","1071","2423","2840","3065"
"02.01.2024 12:00 - 02.01.2024 13:00","35","35","44","1009","1023","1064","2438","2825","3160"
"02.01.2024 13:00 - 02.01.2024 14:00","20","20","21","1009","1020","1065","2490","2850","3190"
"02.01.2024 14:00 - 02.01.2024 15:00","3","3","2","1008","1016","1073","2499","2899","3310"
"02.01.2024 15:00 - 02.01.2024 16:00","0","0","0","1007","1011","1076","2582","2959","3486"
"02.01.2024 16:00 - 02.01.2024 17:00","0","0","0","1005","1005","1072","2577","2948","3521"
"02.01.2024 17:00 - 02.01.2024 18:00","0","0","0","1003","999","1076","2362","2737","3423"
"02.01.2024 18:00 - 02.01.2024 19:00","0","0","0","999","995","1074","2349","2613","3645"
"02.01.2024 19:00 - 02.01.2024 20:00","0","0","0","990","990","1070","2433","2487","3552"
"02.01.2024 20:00 - 02.01.2024 21:00","0","0","0","977","985","1067","2505","2494","3465"
"02.01.2024 21:00 - 02.01.2024 22:00","0","0","0","970","980","1064","2501","2430","3510"
"02.01.2024 22:00 - 02.01.2024 23:00","0","0","0","964","973","1059","2475","2378","3470"
"02.01.2024 23:00 - 03.01.2024 00:00","0","0","0","960","967","967","2802","3375","3375"
"03.01.2024 00:00 - 03.01.2024 01:00","0","0","0","950","1032","1032","2680","3392","3395"
"03.01.2024 01:00 - 03.01.2024 02:00","0","0","0","941","1034","1034","2633","3252","3252"
"03.01.2024 02:00 - 03.01.2024 03:00","0","0","0","932","954","954","2597","3395","3395"
"03.01.2024 03:00 - 03.01.2024 04:00","0","0","0","923","910","910","2513","2843","2843"
"03.01.2024 04:00 - 03.01.2024 05:00","0","0","0","910","938","938","2295","2883","2883"
"03.01.2024 05:00 - 03.01.2024 06:00","0","0","0","903","1013","1013","1985","3057","3057"
"03.01.2024 06:00 - 03.01.2024 07:00","0","0","0","907","984","984","1872","3271","3271"
"03.01.2024 07:00 - 03.01.2024 08:00","0","0","0","920","1041","1041","2106","3546","3546"
"03.01.2024 08:00 - 03.01.2024 09:00","5","5","4","930","1026","1054","2206","3454","3341"
"03.01.2024 09:00 - 03.01.2024 10:00","22","22","32","931","1007","1059","2128","3161","3218"
"03.01.2024 10:00 - 03.01.2024 11:00","36","36","72","919","985","1064","2299","3103","3280"
"03.01.2024 11:00 - 03.01.2024 12:00","40","40","73","891","971","1064","2151","2900","3238"
"03.01.2024 12:00 - 03.01.2024 13:00","35","35","68","864","965","1062","2075","2765","3289"
"03.01.2024 13:00 - 03.01.2024 14:00","20","21","31","844","961","1062","2084","2724","3232"
"03.01.2024 14:00 - 03.01.2024 15:00","4","4","8","825","959","1062","2056","2727","3212"
"03.01.2024 15:00 - 03.01.2024 16:00","0","0","0","813","961","1066","2107","2765","3284"
"03.01.2024 16:00 - 03.01.2024 17:00","0","0","0","816","970","1067","2064","2755","3177"
"03.01.2024 17:00 - 03.01.2024 18:00","0","0","0","829","980","1068","1842","2523","3085"
"03.01.2024 18:00 - 03.01.2024 19:00","0","0","0","840","984","1068","1826","2361","3313"
"03.01.2024 19:00 - 03.01.2024 20:00","0","0","0","846","986","1067","1893","2309","3212"
"03.01.2024 20:00 - 03.01.2024 21:00","0","0","0","847","988","1071","1950","2383","3138"
"03.01.2024 21:00 - 03.01.2024 22:00","0","0","0","854","993","1071","1949","2357","3174"
"03.01.2024 22:00 - 03.01.2024 23:00","0","0","0","869","1000","1069","1946","2366","3146"
"03.01.2024 23:00 - 04.01.2024 00:00","0","0","0","1019","1070","1070","2875","3115","3115"
"04.01.2024 00:00 - 04.01.2024 01:00","0","0","0","1018","1068","1068","2853","3231","3231"
"04.01.2024 01:00 - 04.01.2024 02:00","0","0","0","1015","1041","1041","2846","3180","3180"
"04.01.2024 02:00 - 04.01.2024 03:00","0","0","0","1010","1022","1022","2913","3129","3129"
"04.01.2024 03:00 - 04.01.2024 04:00","0","0","0","1005","1045","1045","2859","2997","2997"
"04.01.2024 04:00 - 04.01.2024 05:00","0","0","0","1000","1073","1073","2611","2867","2867"
"04.01.2024 05:00 - 04.01.2024 06:00","0","0","0","994","1071","1071","2209","2455","2455"
"04.01.2024 06:00 - 04.01.2024 07:00","0","0","0","984","1064","1064","1986","2425","2425"
"04.01.2024 07:00 - 04.01.2024 08:00","0","0","0","958","1038","1042","2088","2414","2414"
"04.01.2024 08:00 - 04.01.2024 09:00","8","9","7","930","975","988","2046","2286","2051"
"04.01.2024 09:00 - 04.01.2024 10:00","29","32","44","888","904","926","1807","2027","1763"
"04.01.2024 10:00 - 04.01.2024 11:00","49","55","85","821","805","784","1703","1852","1712"
"04.01.2024 11:00 - 04.01.2024 12:00","57","61","97","751","708","619","1457","1605","1501"
"04.01.2024 12:00 - 04.01.2024 13:00","49","49","108","689","641","521","1255","1388","1358"
"04.01.2024 13:00 - 04.01.2024 14:00","29","29","70","644","596","463","1046","1183","1043"
"04.01.2024 14:00 - 04.01.2024 15:00","7","6","29","624","578","449","874","994","825"
"04.01.2024 15:00 - 04.01.2024 16:00","0","0","3","622","583","469","788","877","780"
"04.01.2024 16:00 - 04.01.2024 17:00","0","0","0","621","590","501","720","803","692"
"04.01.2024 17:00 - 04.01.2024 18:00","0","0","0","622","599","497","629","702","640"
"04.01.2024 18:00 - 04.01.2024 19:00","0","0","0","624","601","518","588","616","677"
"04.01.2024 19:00 - 04.01.2024 20:00","0","0","0","621","605","512","602","544","649"
"04.01.2024 20:00 - 04.01.2024 21:00","0","0","0","625","612","524","598","530","604"
"04.01.2024 21:00 - 04.01.2024 22:00","0","0","0","636","620","531","612","537","673"
"04.01.2024 22:00 - 04.01.2024 23:00","0","0","0","647","628","538","635","598","792"
"04.01.2024 23:00 - 05.01.2024 00:00","0","0","0","612","601","601","654","743","743"
"05.01.2024 00:00 - 05.01.2024 01:00","0","0","0","636","616","616","700","830","830"
"05.01.2024 01:00 - 05.01.2024 02:00","0","0","0","665","768","768","766","848","848"
"05.01.2024 02:00 - 05.01.2024 03:00","0","0","0","689","708","708","870","949","949"
"05.01.2024 03:00 - 05.01.2024 04:00","0","0","0","711","686","686","965","1176","1176"
"05.01.2024 04:00 - 05.01.2024 05:00","0","0","0","732","759","759","1023","1249","1249"
"05.01.2024 05:00 - 05.01.2024 06:00","0","0","0","747","789","789","989","1294","1294"
"05.01.2024 06:00 - 05.01.2024 07:00","0","0","0","762","783","783","993","1465","1465"
"05.01.2024 07:00 - 05.01.2024 08:00","1","1","1","776","794","796","1195","1696","1696"
"05.01.2024 08:00 - 05.01.2024 09:00","10","12","9","789","805","824","1328","1779","1755"
"05.01.2024 09:00 - 05.01.2024 10:00","34","40","57","797","816","815","1425","1764","1850"
"05.01.2024 10:00 - 05.01.2024 11:00","54","62","108","801","821","818","1533","1831","2034"
"05.01.2024 11:00 - 05.01.2024 12:00","60","67","131","800","822","858","1575","1859","2098"
"05.01.2024 12:00 - 05.01.2024 13:00","50","57","103","800","824","894","1587","1869","2040"
"05.01.2024 13:00 - 05.01.2024 14:00","28","33","73","807","834","881","1610","1858","2128"
"05.01.2024 14:00 - 05.01.2024 15:00","6","7","25","817","845","911","1562","1832","2098"
"05.01.2024 15:00 - 05.01.2024 16:00","0","0","3","827","849","915","1559","1820","2207"
"05.01.2024 16:00 - 05.01.2024 17:00","0","0","0","838","851","931","1528","1782","2048"
"05.01.2024 17:00 - 05.01.2024 18:00","0","0","0","843","854","909","1384","1628","1899"
"05.01.2024 18:00 - 05.01.2024 19:00","0","0","0","843","855","948","1376","1558","1946"
