"MTU (UTC)","Generation - Solar [MW] Day Ahead/ BZN|DK1","Generation - Solar [MW] Intraday / BZN|DK1","Generation - Solar [MW] Current / BZN|DK1","Generation - Wind Offshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore [MW] Intraday / BZN|DK1","Generation - Wind Offshore [MW] Current / BZN|DK1","Generation - Wind Onshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore [MW] Intraday / BZN|DK1","Generation - Wind Onshore [MW] Current / BZN|DK1"
"05.01.2024 19:00 - 05.01.2024 20:00","0","0","0","839","854","954","1368","1499","1783"
"05.01.2024 20:00 - 05.01.2024 21:00","0","0","0","833","854","927","1395","1491","1700"
"05.01.2024 21:00 - 05.01.2024 22:00","0","0","0","825","850","867","1360","1427","1650"
"05.01.2024 22:00 - 05.01.2024 23:00","0","0","0","818","841","890","1317","1373","1655"
"05.01.2024 23:00 - 06.01.2024 00:00","0","0","0","845","898","898","1537","1563","1563"
"06.01.2024 00:00 - 06.01.2024 01:00","0","0","0","835","919","919","1494","1566","1566"
"06.01.2024 01:00 - 06.01.2024 02:00","0","0","0","825","883","883","1439","1425","1425"
"06.01.2024 02:00 - 06.01.2024 03:00","0","0","0","814","878","878","1391","1464","1466"
"06.01.2024 03:00 - 06.01.2024 04:00","0","0","0","806","822","822","1320","1420","1420"
"06.01.2024 04:00 - 06.01.2024 05:00","0","0","0","799","815","815","1204","1379","1379"
"06.01.2024 05:00 - 06.01.2024 06:00","0","0","0","791","769","769","1038","1370","1370"
"06.01.2024 06:00 - 06.01.2024 07:00","0","0","0","780","792","792","938","1378","1378"
"06.01.2024 07:00 - 06.01.2024 08:00","1","1","1","762","795","793","1006","1374","1374"
"06.01.2024 08:00 - 06.01.2024 09:00","11","11","9","742","777","784","990","1326","1275"
"06.01.2024 09:00 - 06.01.2024 10:00","42","41","70","717","757","803","943","1207","1180"
"06.01.2024 10:00 - 06.01.2024 11:00","77","73","167","683","728","722","852","1120","1084"
"06.01.2024 11:00 - 06.01.2024 12:00","94","88","240","651","700","708","760","1021","975"
"06.01.2024 12:00 - 06.01.2024 13:00","83","76","234","628","679","745","705","947","894"
"06.01.2024 13:00 - 06.01.2024 14:00","50","46","148","613","665","740","666","858","870"
"06.01.2024 14:00 - 06.01.2024 15:00","12","11","43","601","657","710","608","787","853"
"06.01.2024 15:00 - 06.01.2024 16:00","1","1","3","602","655","675","617","769","938"
"06.01.2024 16:00 - 06.01.2024 17:00","0","0","0","600","649","624","627","748","917"
"06.01.2024 17:00 - 06.01.2024 18:00","0","0","0","589","631","611","541","658","858"
"06.01.2024 18:00 - 06.01.2024 19:00","0","0","0","572","610","598","520","621","912"
"06.01.2024 19:00 - 06.01.2024 20:00","0","0","0","548","582","598","494","587","864"
"06.01.2024 20:00 - 06.01.2024 21:00","0","0","0","515","544","573","472","541","834"
"06.01.2024 21:00 - 06.01.2024 22:00","0","0","0","482","505","506","430","490","828"
"06.01.2024 22:00 - 06.01.2024 23:00","0","0","0","457","481","429","418","446","788"
"06.01.2024 23:00 - 07.01.2024 00:00","0","0","0","506","408","408","609","726","726"
"07.01.2024 00:00 - 07.01.2024 01:00","0","0","0","489","367","367","558","687","687"
"07.01.2024 01:00 - 07.01.2024 02:00","0","0","0","473","358","358","500","603","603"
"07.01.2024 02:00 - 07.01.2024 03:00","0","0","0","455","342","342","448","545","545"
"07.01.2024 03:00 - 07.01.2024 04:00","0","0","0","442","309","309","401","473","473"
"07.01.2024 04:00 - 07.01.2024 05:00","0","0","0","429","297","297","349","473","473"
"07.01.2024 05:00 - 07.01.2024 06:00","0","0","0","417","287","287","303","483","483"
"07.01.2024 06:00 - 07.01.2024 07:00","0","0","0","402","312","312","281","502","502"
"07.01.2024 07:00 - 07.01.2024 08:00","1","1","1","386","336","339","324","487","487"
"07.01.2024 08:00 - 07.01.2024 09:00","15","14","13","377","336","332","337","471","486"
"07.01.2024 09:00 - 07.01.2024 10:00","51","49","126","369","335","352","343","441","450"
"07.01.2024 10:00 - 07.01.2024 11:00","87","84","256","357","335","331","339","431","397"
"07.01.2024 11:00 - 07.01.2024 12:00","101","97","289","348","333","235","307","423","338"
"07.01.2024 12:00 - 07.01.2024 13:00","85","80","256","351","349","202","302","440","368"
"07.01.2024 13:00 - 07.01.2024 14:00","50","46","147","380","395","300","336","455","415"
"07.01.2024 14:00 - 07.01.2024 15:00","12","11","39","423","446","376","350","475","413"
"07.01.2024 15:00 - 07.01.2024 16:00","1","1","4","468","495","478","406","521","446"
"07.01.2024 16:00 - 07.01.2024 17:00","0","0","0","509","528","517","467","565","581"
"07.01.2024 17:00 - 07.01.2024 18:00","0","0","0","530","547","544","445","542","687"
"07.01.2024 18:00 - 07.01.2024 19:00","0","0","0","537","563","697","464","559","893"
"07.01.2024 19:00 - 07.01.2024 20:00","0","0","0","537","577","656","490","574","917"
"07.01.2024 20:00 - 07.01.2024 21:00","0","0","0","537","589","649","516","578","947"
"07.01.2024 21:00 - 07.01.2024 22:00","0","0","0","546","587","670","501","552","892"
"07.01.2024 22:00 - 07.01.2024 23:00","0","0","0","558","573","655","489","510","929"
"07.01.2024 23:00 - 08.01.2024 00:00","0","0","0","583","587","587","716","1008","1008"
"08.01.2024 00:00 - 08.01.2024 01:00","0","0","0","571","732","732","632","948","948"
"08.01.2024 01:00 - 08.01.2024 02:00","0","0","0","562","752","752","559","778","778"
"08.01.2024 02:00 - 08.01.2024 03:00","0","0","0","551","609","609","513","708","708"
"08.01.2024 03:00 - 08.01.2024 04:00","0","0","0","543","540","540","490","731","731"
"08.01.2024 04:00 - 08.01.2024 05:00","0","0","0","532","512","512","462","665","665"
"08.01.2024 05:00 - 08.01.2024 06:00","0","0","0","504","451","451","398","644","644"
"08.01.2024 06:00 - 08.01.2024 07:00","0","0","0","478","473","473","342","701","701"
"08.01.2024 07:00 - 08.01.2024 08:00","1","1","1","451","504","513","353","659","659"
"08.01.2024 08:00 - 08.01.2024 09:00","14","14","12","415","470","480","310","575","466"
"08.01.2024 09:00 - 08.01.2024 10:00","49","48","120","372","420","351","271","461","307"
"08.01.2024 10:00 - 08.01.2024 11:00","78","77","244","337","370","214","219","381","262"
"08.01.2024 11:00 - 08.01.2024 12:00","90","89","333","305","330","185","172","327","221"
"08.01.2024 12:00 - 08.01.2024 13:00","78","78","315","283","311","204","147","294","167"
"08.01.2024 13:00 - 08.01.2024 14:00","48","48","197","276","307","164","140","255","156"
"08.01.2024 14:00 - 08.01.2024 15:00","13","13","66","272","306","172","127","219","140"
"08.01.2024 15:00 - 08.01.2024 16:00","1","1","6","271","300","208","127","198","159"
"08.01.2024 16:00 - 08.01.2024 17:00","0","0","0","267","294","192","131","191","186"
"08.01.2024 17:00 - 08.01.2024 18:00","0","0","0","253","286","182","117","159","181"
"08.01.2024 18:00 - 08.01.2024 19:00","0","0","0","230","260","146","114","122","166"
"08.01.2024 19:00 - 08.01.2024 20:00","0","0","0","194","214","104","114","109","149"
"08.01.2024 20:00 - 08.01.2024 21:00","0","0","0","157","167","107","115","116","142"
"08.01.2024 21:00 - 08.01.2024 22:00","0","0","0","134","130","54","116","121","172"
"08.01.2024 22:00 - 08.01.2024 23:00","0","0","0","113","106","40","125","131","255"
"08.01.2024 23:00 - 09.01.2024 00:00","0","0","0","78","23","23","189","317","317"
"09.01.2024 00:00 - 09.01.2024 01:00","0","0","0","60","15","15","204","365","368"
"09.01.2024 01:00 - 09.01.2024 02:00","0","0","0","63","25","25","228","393","393"
"09.01.2024 02:00 - 09.01.2024 03:00","0","0","0","75","30","30","249","420","420"
"09.01.2024 03:00 - 09.01.2024 04:00","0","0","0","86","44","44","270","374","374"
"09.01.2024 04:00 - 09.01.2024 05:00","0","0","0","107","58","58","280","369","369"
"09.01.2024 05:00 - 09.01.2024 06:00","0","0","0","131","43","43","255","380","380"
"09.01.2024 06:00 - 09.01.2024 07:00","0","0","0","149","47","47","230","429","429"
"09.01.2024 07:00 - 09.01.2024 08:00","0","1","1","167","78","76","242","439","439"
"09.01.2024 08:00 - 09.01.2024 09:00","9","11","10","179","115","50","240","406","393"
"09.01.2024 09:00 - 09.01.2024 10:00","34","39","76","182","153","71","213","333","280"
"09.01.2024 10:00 - 09.01.2024 11:00","57","62","125","195","190","86","222","297","298"
"09.01.2024 11:00 - 09.01.2024 12:00","67","70","183","218","214","102","190","240","286"
"09.01.2024 12:00 - 09.01.2024 13:00","59","59","145","223","220","102","161","197","291"
"09.01.2024 13:00 - 09.01.2024 14:00","36","34","93","226","206","101","126","167","228"
"09.01.2024 14:00 - 09.01.2024 15:00","9","8","31","228","186","105","101","149","183"
"09.01.2024 15:00 - 09.01.2024 16:00","0","0","2","209","166","108","85","141","167"
"09.01.2024 16:00 - 09.01.2024 17:00","0","0","0","162","134","103","65","131","109"
"09.01.2024 17:00 - 09.01.2024 18:00","0","0","0","109","108","80","49","106","60"
"09.01.2024 18:00 - 09.01.2024 19:00","0","0","0","74","86","36","42","68","58"
"09.01.2024 19:00 - 09.01.2024 20:00","0","0","0","53","62","38","40","51","54"
"09.01.2024 20:00 - 09.01.2024 21:00","0","0","0","47","49","77","41","50","47"
"09.01.2024 21:00 - 09.01.2024 22:00","0","0","0","48","44","67","41","45","52"
"09.01.2024 22:00 - 09.01.2024 23:00","0","0","0","54","46","86","40","42","44"
"09.01.2024 23:00 - 10.01.2024 00:00","0","0","0","45","102","102","65","26","26"
"10.01.2024 00:00 - 10.01.2024 01:00","0","0","0","49","62","62","59","27","27"
"10.01.2024 01:00 - 10.01.2024 02:00","0","0","0","56","85","85","54","13","13"
"10.01.2024 02:00 - 10.01.2024 03:00","0","0","0","67","69","69","52","15","15"
"10.01.2024 03:00 - 10.01.2024 04:00","0","0","0","76","17","17","48","8","8"
"10.01.2024 04:00 - 10.01.2024 05:00","0","0","0","84","15","15","42","9","9"
"10.01.2024 05:00 - 10.01.2024 06:00","0","0","0","93","10","10","37","6","6"
"10.01.2024 06:00 - 10.01.2024 07:00","0","0","0","101","9","9","37","10","10"
"10.01.2024 07:00 - 10.01.2024 08:00","0","0","0","109","24","22","49","18","18"
"10.01.2024 08:00 - 10.01.2024 09:00","8","7","7","114","63","12","59","36","21"
"10.01.2024 09:00 - 10.01.2024 10:00","29","26","73","105","75","3","62","45","19"
"10.01.2024 10:00 - 10.01.2024 11:00","50","45","162","92","74","8","69","58","47"
"10.01.2024 11:00 - 10.01.2024 12:00","59","53","195","85","76","11","72","72","86"
"10.01.2024 12:00 - 10.01.2024 13:00","55","50","178","94","79","7","81","78","86"
"10.01.2024 13:00 - 10.01.2024 14:00","35","32","115","116","81","4","100","85","77"
"10.01.2024 14:00 - 10.01.2024 15:00","9","8","38","134","85","9","118","104","107"
"10.01.2024 15:00 - 10.01.2024 16:00","0","0","4","149","93","16","143","136","176"
"10.01.2024 16:00 - 10.01.2024 17:00","0","0","0","158","107","21","174","176","273"
"10.01.2024 17:00 - 10.01.2024 18:00","0","0","0","164","128","30","187","208","332"
"10.01.2024 18:00 - 10.01.2024 19:00","0","0","0","166","153","36","243","262","481"
"10.01.2024 19:00 - 10.01.2024 20:00","0","0","0","181","185","53","338","326","567"
"10.01.2024 20:00 - 10.01.2024 21:00","0","0","0","218","223","67","401","388","577"
"10.01.2024 21:00 - 10.01.2024 22:00","0","0","0","249","258","92","404","433","673"
"10.01.2024 22:00 - 10.01.2024 23:00","0","0","0","295","297","98","415","425","711"
"10.01.2024 23:00 - 11.01.2024 00:00","0","0","0","321","173","173","542","700","700"
"11.01.2024 00:00 - 11.01.2024 01:00","0","0","0","387","259","259","495","618","618"
"11.01.2024 01:00 - 11.01.2024 02:00","0","0","0","429","329","329","447","561","561"
"11.01.2024 02:00 - 11.01.2024 03:00","0","0","0","467","343","343","414","486","486"
"11.01.2024 03:00 - 11.01.2024 04:00","0","0","0","476","382","382","363","365","365"
"11.01.2024 04:00 - 11.01.2024 05:00","0","0","0","456","344","344","288","221","221"
"11.01.2024 05:00 - 11.01.2024 06:00","0","0","0","423","270","270","235","152","152"
"11.01.2024 06:00 - 11.01.2024 07:00","0","0","0","380","180","180","217","164","164"
"11.01.2024 07:00 - 11.01.2024 08:00","1","1","1","340","120","121","255","131","131"
"11.01.2024 08:00 - 11.01.2024 09:00","11","12","12","318","114","139","261","156","93"
"11.01.2024 09:00 - 11.01.2024 10:00","39","41","117","314","142","139","246","180","87"
"11.01.2024 10:00 - 11.01.2024 11:00","66","67","209","312","193","200","264","223","133"
"11.01.2024 11:00 - 11.01.2024 12:00","77","78","285","314","233","176","220","240","100"
"11.01.2024 12:00 - 11.01.2024 13:00","70","70","245","318","249","155","170","212","133"
"11.01.2024 13:00 - 11.01.2024 14:00","45","45","159","304","264","154","177","190","187"
"11.01.2024 14:00 - 11.01.2024 15:00","13","13","62","284","285","282","179","206","194"
"11.01.2024 15:00 - 11.01.2024 16:00","1","1","4","259","285","311","202","227","246"
"11.01.2024 16:00 - 11.01.2024 17:00","0","0","0","215","263","281","191","237","190"
"11.01.2024 17:00 - 11.01.2024 18:00","0","0","0","176","237","181","126","190","172"
"11.01.2024 18:00 - 11.01.2024 19:00","0","0","0","153","198","141","116","171","188"
"11.01.2024 19:00 - 11.01.2024 20:00","0","0","0","129","166","93","120","174","138"
"11.01.2024 20:00 - 11.01.2024 21:00","0","0","0","115","166","5","119","169","99"
"11.01.2024 21:00 - 11.01.2024 22:00","0","0","0","116","180","40","108","163","74"
"11.01.2024 22:00 - 11.01.2024 23:00","0","0","0","143","203","82","126","171","133"
"11.01.2024 23:00 - 12.01.2024 00:00","0","0","0","164","150","150","82","178","178"
"12.01.2024 00:00 - 12.01.2024 01:00","0","0","0","200","206","206","94","308","308"
"12.01.2024 01:00 - 12.01.2024 02:00","0","0","0","262","271","271","124","496","496"
"12.01.2024 02:00 - 12.01.2024 03:00","0","0","0","343","463","463","167","559","559"
"12.01.2024 03:00 - 12.01.2024 04:00","0","0","0","438","661","661","192","457","457"
"12.01.2024 04:00 - 12.01.2024 05:00","0","0","0","548","767","767","191","495","495"
"12.01.2024 05:00 - 12.01.2024 06:00","0","0","0","597","746","758","178","450","450"
"12.01.2024 06:00 - 12.01.2024 07:00","0","0","0","611","756","756","184","392","392"
"12.01.2024 07:00 - 12.01.2024 08:00","1","1","1","614","709","711","251","526","526"
"12.01.2024 08:00 - 12.01.2024 09:00","9","12","16","605","690","729","301","511","474"
"12.01.2024 09:00 - 12.01.2024 10:00","27","41","95","602","689","721","352","485","448"
"12.01.2024 10:00 - 12.01.2024 11:00","47","67","251","604","679","688","351","496","453"
"12.01.2024 11:00 - 12.01.2024 12:00","57","78","355","610","678","737","285","431","405"
"12.01.2024 12:00 - 12.01.2024 13:00","54","70","353","613","664","737","233","334","337"
"12.01.2024 13:00 - 12.01.2024 14:00","36","46","228","628","626","724","245","318","262"
"12.01.2024 14:00 - 12.01.2024 15:00","11","13","84","643","617","727","308","362","343"
"12.01.2024 15:00 - 12.01.2024 16:00","1","1","5","656","623","728","466","440","502"
"12.01.2024 16:00 - 12.01.2024 17:00","0","0","0","677","638","708","599","551","723"
"12.01.2024 17:00 - 12.01.2024 18:00","0","0","0","708","665","723","636","626","730"
"12.01.2024 18:00 - 12.01.2024 19:00","0","0","0","718","683","710","791","782","1043"
"12.01.2024 19:00 - 12.01.2024 20:00","0","0","0","708","690","640","1052","985","1054"
"12.01.2024 20:00 - 12.01.2024 21:00","0","0","0","714","685","634","1251","1183","1414"
"12.01.2024 21:00 - 12.01.2024 22:00","0","0","0","736","695","602","1413","1370","1710"
"12.01.2024 22:00 - 12.01.2024 23:00","0","0","0","770","735","666","1592","1563","1888"
"12.01.2024 23:00 - 13.01.2024 00:00","0","0","0","725","716","716","1749","2118","2118"
"13.01.2024 00:00 - 13.01.2024 01:00","0","0","0","768","1021","1021","1886","2231","2231"
"13.01.2024 01:00 - 13.01.2024 02:00","0","0","0","845","1071","1071","1952","2249","2249"
"13.01.2024 02:00 - 13.01.2024 03:00","0","0","0","896","1088","1088","2044","2459","2459"
"13.01.2024 03:00 - 13.01.2024 04:00","0","0","0","924","1100","1100","2182","2331","2331"
"13.01.2024 04:00 - 13.01.2024 05:00","0","0","0","942","1092","1092","2289","2432","2432"
"13.01.2024 05:00 - 13.01.2024 06:00","0","0","0","958","1097","1097","2183","2343","2343"
"13.01.2024 06:00 - 13.01.2024 07:00","0","0","0","971","1090","1090","2136","2510","2510"
