"Time (UTC)","BZN|DE-LU > BZN|DK1 [MW]","BZN|DK1 > BZN|DE-LU [MW]"
"01.01.2023 00:00 - 01.01.2023 00:15","2229","0"
"01.01.2023 00:15 - 01.01.2023 00:30","2133","0"
"01.01.2023 00:30 - 01.01.2023 00:45","2096","0"
"01.01.2023 00:45 - 01.01.2023 01:00","2145","0"
"01.01.2023 01:00 - 01.01.2023 01:15","2467","0"
"01.01.2023 01:15 - 01.01.2023 01:30","2443","0"
"01.01.2023 01:30 - 01.01.2023 01:45","2384","0"
"01.01.2023 01:45 - 01.01.2023 02:00","2407","0"
"01.01.2023 02:00 - 01.01.2023 02:15","2452","0"
"01.01.2023 02:15 - 01.01.2023 02:30","2442","0"
"01.01.2023 02:30 - 01.01.2023 02:45","2420","0"
"01.01.2023 02:45 - 01.01.2023 03:00","2390","0"
"01.01.2023 03:00 - 01.01.2023 03:15","2407","0"
"01.01.2023 03:15 - 01.01.2023 03:30","2409","0"
"01.01.2023 03:30 - 01.01.2023 03:45","2386","0"
"01.01.2023 03:45 - 01.01.2023 04:00","2438","0"
"01.01.2023 04:00 - 01.01.2023 04:15","2471","0"
"01.01.2023 04:15 - 01.01.2023 04:30","2392","0"
"01.01.2023 04:30 - 01.01.2023 04:45","2378","0"
"01.01.2023 04:45 - 01.01.2023 05:00","2356","0"
"01.01.2023 05:00 - 01.01.2023 05:15","2294","0"
"01.01.2023 05:15 - 01.01.2023 05:30","2338","0"
"01.01.2023 05:30 - 01.01.2023 05:45","2279","0"
"01.01.2023 05:45 - 01.01.2023 06:00","2226","0"
"01.01.2023 06:00 - 01.01.2023 06:15","2355","0"
"01.01.2023 06:15 - 01.01.2023 06:30","2363","0"
"01.01.2023 06:30 - 01.01.2023 06:45","2309","0"
"01.01.2023 06:45 - 01.01.2023 07:00","2176","0"
"01.01.2023 07:00 - 01.01.2023 07:15","2016","0"
"01.01.2023 07:15 - 01.01.2023 07:30","1941","0"
"01.01.2023 07:30 - 01.01.2023 07:45","1864","0"
"01.01.2023 07:45 - 01.01.2023 08:00","1858","0"
"01.01.2023 08:00 - 01.01.2023 08:15","2113","0"
"01.01.2023 08:15 - 01.01.2023 08:30","2257","0"
"01.01.2023 08:30 - 01.01.2023 08:45","2269","0"
"01.01.2023 08:45 - 01.01.2023 09:00","2282","0"
"01.01.2023 09:00 - 01.01.2023 09:15","2494","0"
"01.01.2023 09:15 - 01.01.2023 09:30","2385","0"
"01.01.2023 09:30 - 01.01.2023 09:45","2385","0"
"01.01.2023 09:45 - 01.01.2023 10:00","2396","0"
"01.01.2023 10:00 - 01.01.2023 10:15","2644","0"
"01.01.2023 10:15 - 01.01.2023 10:30","2411","0"
"01.01.2023 10:30 - 01.01.2023 10:45","2403","0"
"01.01.2023 10:45 - 01.01.2023 11:00","2402","0"
"01.01.2023 11:00 - 01.01.2023 11:15","2201","0"
"01.01.2023 11:15 - 01.01.2023 11:30","2220","0"
"01.01.2023 11:30 - 01.01.2023 11:45","2192","0"
"01.01.2023 11:45 - 01.01.2023 12:00","2186","0"
"01.01.2023 12:00 - 01.01.2023 12:15","2353","0"
"01.01.2023 12:15 - 01.01.2023 12:30","2254","0"
