"Time (UTC)","BZN|DE-LU > BZN|DK2 [MW]","BZN|DK2 > BZN|DE-LU [MW]"
"01.01.2023 00:00 - 01.01.2023 00:15","169","0"
"01.01.2023 00:15 - 01.01.2023 00:30","163","0"
"01.01.2023 00:30 - 01.01.2023 00:45","163","0"
"01.01.2023 00:45 - 01.01.2023 01:00","163","0"
"01.01.2023 01:00 - 01.01.2023 01:15","167","0"
"01.01.2023 01:15 - 01.01.2023 01:30","168","0"
"01.01.2023 01:30 - 01.01.2023 01:45","168","0"
"01.01.2023 01:45 - 01.01.2023 02:00","182","0"
"01.01.2023 02:00 - 01.01.2023 02:15","303","0"
"01.01.2023 02:15 - 01.01.2023 02:30","313","0"
"01.01.2023 02:30 - 01.01.2023 02:45","313","0"
"01.01.2023 02:45 - 01.01.2023 03:00","297","0"
"01.01.2023 03:00 - 01.01.2023 03:15","162","0"
"01.01.2023 03:15 - 01.01.2023 03:30","151","0"
"01.01.2023 03:30 - 01.01.2023 03:45","151","0"
"01.01.2023 03:45 - 01.01.2023 04:00","166","0"
"01.01.2023 04:00 - 01.01.2023 04:15","287","0"
"01.01.2023 04:15 - 01.01.2023 04:30","297","0"
"01.01.2023 04:30 - 01.01.2023 04:45","297","0"
"01.01.2023 04:45 - 01.01.2023 05:00","291","0"
"01.01.2023 05:00 - 01.01.2023 05:15","238","0"
"01.01.2023 05:15 - 01.01.2023 05:30","234","0"
"01.01.2023 05:30 - 01.01.2023 05:45","233","0"
"01.01.2023 05:45 - 01.01.2023 06:00","235","0"
"01.01.2023 06:00 - 01.01.2023 06:15","241","0"
"01.01.2023 06:15 - 01.01.2023 06:30","241","0"
"01.01.2023 06:30 - 01.01.2023 06:45","241","0"
"01.01.2023 06:45 - 01.01.2023 07:00","257","0"
"01.01.2023 07:00 - 01.01.2023 07:15","395","0"
"01.01.2023 07:15 - 01.01.2023 07:30","407","0"
"01.01.2023 07:30 - 01.01.2023 07:45","407","0"
"01.01.2023 07:45 - 01.01.2023 08:00","400","0"
"01.01.2023 08:00 - 01.01.2023 08:15","327","0"
"01.01.2023 08:15 - 01.01.2023 08:30","320","0"
"01.01.2023 08:30 - 01.01.2023 08:45","320","0"
"01.01.2023 08:45 - 01.01.2023 09:00","334","0"
"01.01.2023 09:00 - 01.01.2023 09:15","454","0"
"01.01.2023 09:15 - 01.01.2023 09:30","464","0"
"01.01.2023 09:30 - 01.01.2023 09:45","464","0"
"01.01.2023 09:45 - 01.01.2023 10:00","459","0"
"01.01.2023 10:00 - 01.01.2023 10:15","410","0"
"01.01.2023 10:15 - 01.01.2023 10:30","405","0"
"01.01.2023 10:30 - 01.01.2023 10:45","405","0"
"01.01.2023 10:45 - 01.01.2023 11:00","410","0"
"01.01.2023 11:00 - 01.01.2023 11:15","449","0"
"01.01.2023 11:15 - 01.01.2023 11:30","453","0"
"01.01.2023 11:30 - 01.01.2023 11:45","452","0"
"01.01.2023 11:45 - 01.01.2023 12:00","453","0"
"01.01.2023 12:00 - 01.01.2023 12:15","453","0"
"01.01.2023 12:15 - 01.01.2023 12:30","453","0"
"01.01.2023 12:30 - 01.01.2023 12:45","453","0"
"01.01.2023 12:45 - 01.01.2023 13:00","455","0"
"01.01.2023 13:00 - 01.01.2023 13:15","478","0"
"01.01.2023 13:15 - 01.01.2023 13:30","479","0"
"01.01.2023 13:30 - 01.01.2023 13:45","480","0"
"01.01.2023 13:45 - 01.01.2023 14:00","425","0"
"01.01.2023 14:00 - 01.01.2023 14:15","216","0"
"01.01.2023 14:15 - 01.01.2023 14:30","170","0"
"01.01.2023 14:30 - 01.01.2023 14:45","170","0"
"01.01.2023 14:45 - 01.01.2023 15:00","78","0"
"01.01.2023 15:00 - 01.01.2023 15:15","0","263"
"01.01.2023 15:15 - 01.01.2023 15:30","0","340"
"01.01.2023 15:30 - 01.01.2023 15:45","0","339"
"01.01.2023 15:45 - 01.01.2023 16:00","0","342"
"01.01.2023 16:00 - 01.01.2023 16:15","0","359"
"01.01.2023 16:15 - 01.01.2023 16:30","0","360"
"01.01.2023 16:30 - 01.01.2023 16:45","0","360"
"01.01.2023 16:45 - 01.01.2023 17:00","0","362"
"01.01.2023 17:00 - 01.01.2023 17:15","0","371"
"01.01.2023 17:15 - 01.01.2023 17:30","0","372"
"01.01.2023 17:30 - 01.01.2023 17:45","0","372"
"01.01.2023 17:45 - 01.01.2023 18:00","0","374"
"01.01.2023 18:00 - 01.01.2023 18:15","0","386"
"01.01.2023 18:15 - 01.01.2023 18:30","0","387"
"01.01.2023 18:30 - 01.01.2023 18:45","0","387"
"01.01.2023 18:45 - 01.01.2023 19:00","0","388"
"01.01.2023 19:00 - 01.01.2023 19:15","0","394"
"01.01.2023 19:15 - 01.01.2023 19:30","0","395"
"01.01.2023 19:30 - 01.01.2023 19:45","0","394"
"01.01.2023 19:45 - 01.01.2023 20:00","0","395"
"01.01.2023 20:00 - 01.01.2023 20:15","0","395"
"01.01.2023 20:15 - 01.01.2023 20:30","0","402"
"01.01.2023 20:30 - 01.01.2023 20:45","0","406"
"01.01.2023 20:45 - 01.01.2023 21:00","0","409"
"01.01.2023 21:00 - 01.01.2023 21:15","0","417"
"01.01.2023 21:15 - 01.01.2023 21:30","0","425"
"01.01.2023 21:30 - 01.01.2023 21:45","0","428"
"01.01.2023 21:45 - 01.01.2023 22:00","0","431"
"01.01.2023 22:00 - 01.01.2023 22:15","0","456"
"01.01.2023 22:15 - 01.01.2023 22:30","0","459"
