"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","01.01.2023 00:00 - 01.01.2023 01:00 (UTC)","166","n/e","n/e","n/e","76","147","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","351","782"
"BZN|DK1","01.01.2023 01:00 - 01.01.2023 02:00 (UTC)","223","n/e","n/e","n/e","81","148","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","315","834"
"BZN|DK1","01.01.2023 02:00 - 01.01.2023 03:00 (UTC)","256","n/e","n/e","n/e","81","148","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","303","855"
"BZN|DK1","01.01.2023 03:00 - 01.01.2023 04:00 (UTC)","240","n/e","n/e","n/e","78","148","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","214","916"
"BZN|DK1","01.01.2023 04:00 - 01.01.2023 05:00 (UTC)","262","n/e","n/e","n/e","80","147","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","44","881"
"BZN|DK1","01.01.2023 05:00 - 01.01.2023 06:00 (UTC)","175","n/e","n/e","n/e","79","147","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","69","69","887"
"BZN|DK1","01.01.2023 06:00 - 01.01.2023 07:00 (UTC)","92","n/e","n/e","n/e","77","145","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","72","140","1099"
"BZN|DK1","01.01.2023 07:00 - 01.01.2023 08:00 (UTC)","96","n/e","n/e","n/e","77","146","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","71","248","1494"
"BZN|DK1","01.01.2023 08:00 - 01.01.2023 09:00 (UTC)","124","n/e","n/e","n/e","78","146","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","7","71","589","1693"
"BZN|DK1","01.01.2023 09:00 - 01.01.2023 10:00 (UTC)","107","n/e","n/e","n/e","79","149","9","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","39","72","802","1918"
