"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","10.12.2024 06:00 - 10.12.2024 07:00 (UTC)","321","n/e","n/e","n/e","374","548","17","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","17","62","106","141"
"BZN|DK1","10.12.2024 07:00 - 10.12.2024 08:00 (UTC)","325","n/e","n/e","n/e","384","554","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","18","68","60","99"
"BZN|DK1","10.12.2024 08:00 - 10.12.2024 09:00 (UTC)","322","n/e","n/e","n/e","381","599","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","37","73","38","63"
"BZN|DK1","10.12.2024 09:00 - 10.12.2024 10:00 (UTC)","325","n/e","n/e","n/e","393","604","22","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","79","82","34","42"
"BZN|DK1","10.12.2024 10:00 - 10.12.2024 11:00 (UTC)","324","n/e","n/e","n/e","396","607","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","122","82","28","28"
"BZN|DK1","10.12.2024 11:00 - 10.12.2024 12:00 (UTC)","324","n/e","n/e","n/e","395","605","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","134","84","20","21"
"BZN|DK1","10.12.2024 12:00 - 10.12.2024 13:00 (UTC)","365","n/e","n/e","n/e","338","612","29","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","111","84","15","17"
"BZN|DK1","10.12.2024 13:00 - 10.12.2024 14:00 (UTC)","395","n/e","n/e","n/e","337","609","24","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","62","87","29","27"
"BZN|DK1","10.12.2024 14:00 - 10.12.2024 15:00 (UTC)","359","n/e","n/e","n/e","373","617","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","11","103","52","38"
"BZN|DK1","10.12.2024 15:00 - 10.12.2024 16:00 (UTC)","355","n/e","n/e","n/e","381","608","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","101","29","49"
"BZN|DK1","10.12.2024 16:00 - 10.12.2024 17:00 (UTC)","357","n/e","n/e","n/e","387","610","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","102","19","57"
"BZN|DK1","10.12.2024 17:00 - 10.12.2024 18:00 (UTC)","351","n/e","n/e","n/e","427","605","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","103","24","89"
"BZN|DK1","10.12.2024 18:00 - 10.12.2024 19:00 (UTC)","325","n/e","n/e","n/e","428","610","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","82","36","103"
"BZN|DK1","10.12.2024 19:00 - 10.12.2024 20:00 (UTC)","305","n/e","n/e","n/e","398","608","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","80","38","123"
"BZN|DK1","10.12.2024 20:00 - 10.12.2024 21:00 (UTC)","305","n/e","n/e","n/e","361","555","16","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","63","44","169"
"BZN|DK1","10.12.2024 21:00 - 10.12.2024 22:00 (UTC)","305","n/e","n/e","n/e","346","532","14","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","61","77","206"
"BZN|DK1","10.12.2024 22:00 - 10.12.2024 23:00 (UTC)","305","n/e","n/e","n/e","336","526","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","61","93","249"
"BZN|DK1","10.12.2024 23:00 - 11.12.2024 00:00 (UTC)","296","n/e","n/e","n/e","325","522","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","60","131","270"
"BZN|DK1","11.12.2024 00:00 - 11.12.2024 01:00 (UTC)","315","n/e","n/e","n/e","320","518","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","61","208","267"
"BZN|DK1","11.12.2024 01:00 - 11.12.2024 02:00 (UTC)","304","n/e","n/e","n/e","285","516","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","62","247","286"
"BZN|DK1","11.12.2024 02:00 - 11.12.2024 03:00 (UTC)","307","n/e","n/e","n/e","334","525","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","62","260","315"
"BZN|DK1","11.12.2024 03:00 - 11.12.2024 04:00 (UTC)","362","n/e","n/e","n/e","311","517","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","61","247","266"
"BZN|DK1","11.12.2024 04:00 - 11.12.2024 05:00 (UTC)","424","n/e","n/e","n/e","285","603","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","63","259","184"
"BZN|DK1","11.12.2024 05:00 - 11.12.2024 06:00 (UTC)","459","n/e","n/e","n/e","347","671","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","97","223","135"
"BZN|DK1","11.12.2024 06:00 - 11.12.2024 07:00 (UTC)","544","n/e","n/e","n/e","443","689","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","102","266","119"
"BZN|DK1","11.12.2024 07:00 - 11.12.2024 08:00 (UTC)","663","n/e","n/e","n/e","481","702","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","3","110","270","123"
"BZN|DK1","11.12.2024 08:00 - 11.12.2024 09:00 (UTC)","750","n/e","n/e","n/e","480","699","22","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","45","112","296","146"
"BZN|DK1","11.12.2024 09:00 - 11.12.2024 10:00 (UTC)","762","n/e","n/e","n/e","484","684","22","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","141","117","320","161"
"BZN|DK1","11.12.2024 10:00 - 11.12.2024 11:00 (UTC)","764","n/e","n/e","n/e","494","692","22","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","188","116","292","174"
"BZN|DK1","11.12.2024 11:00 - 11.12.2024 12:00 (UTC)","773","n/e","n/e","n/e","494","694","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","169","117","214","200"
"BZN|DK1","11.12.2024 12:00 - 11.12.2024 13:00 (UTC)","766","n/e","n/e","n/e","497","700","24","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","138","117","217","223"
"BZN|DK1","11.12.2024 13:00 - 11.12.2024 14:00 (UTC)","767","n/e","n/e","n/e","492","712","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","72","117","293","257"
"BZN|DK1","11.12.2024 14:00 - 11.12.2024 15:00 (UTC)","794","n/e","n/e","n/e","482","708","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","11","116","382","285"
"BZN|DK1","11.12.2024 15:00 - 11.12.2024 16:00 (UTC)","802","n/e","n/e","n/e","489","708","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","115","422","274"
"BZN|DK1","11.12.2024 16:00 - 11.12.2024 17:00 (UTC)","783","n/e","n/e","n/e","492","704","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","116","456","314"
"BZN|DK1","11.12.2024 17:00 - 11.12.2024 18:00 (UTC)","766","n/e","n/e","n/e","500","711","26","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","115","359","377"
"BZN|DK1","11.12.2024 18:00 - 11.12.2024 19:00 (UTC)","753","n/e","n/e","n/e","505","710","30","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","117","321","320"
"BZN|DK1","11.12.2024 19:00 - 11.12.2024 20:00 (UTC)","756","n/e","n/e","n/e","492","710","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","118","326","210"
"BZN|DK1","11.12.2024 20:00 - 11.12.2024 21:00 (UTC)","727","n/e","n/e","n/e","375","677","17","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","105","234","153"
"BZN|DK1","11.12.2024 21:00 - 11.12.2024 22:00 (UTC)","692","n/e","n/e","n/e","358","668","17","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","101","202","122"
"BZN|DK1","11.12.2024 22:00 - 11.12.2024 23:00 (UTC)","454","n/e","n/e","n/e","349","663","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","100","176","112"
"BZN|DK1","11.12.2024 23:00 - 12.12.2024 00:00 (UTC)","379","n/e","n/e","n/e","306","653","14","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","69","100","84"
"BZN|DK1","12.12.2024 00:00 - 12.12.2024 01:00 (UTC)","390","n/e","n/e","n/e","326","651","14","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","1","67","70","51"
"BZN|DK1","12.12.2024 01:00 - 12.12.2024 02:00 (UTC)","374","n/e","n/e","n/e","292","572","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","67","66","37"
