"Time (UTC)","BZN|DE-LU > BZN|DK1 [MW]","BZN|DK1 > BZN|DE-LU [MW]"
"02.01.2024 01:15 - 02.01.2024 01:30","1913","0"
"02.01.2024 01:30 - 02.01.2024 01:45","1972","0"
"02.01.2024 01:45 - 02.01.2024 02:00","1931","0"
"02.01.2024 02:00 - 02.01.2024 02:15","2047","0"
"02.01.2024 02:15 - 02.01.2024 02:30","2049","0"
"02.01.2024 02:30 - 02.01.2024 02:45","2024","0"
"02.01.2024 02:45 - 02.01.2024 03:00","1968","0"
"02.01.2024 03:00 - 02.01.2024 03:15","1900","0"
"02.01.2024 03:15 - 02.01.2024 03:30","1842","0"
"02.01.2024 03:30 - 02.01.2024 03:45","1762","0"
"02.01.2024 03:45 - 02.01.2024 04:00","1694","0"
"02.01.2024 04:00 - 02.01.2024 04:15","1510","0"
"02.01.2024 04:15 - 02.01.2024 04:30","1391","0"
"02.01.2024 04:30 - 02.01.2024 04:45","1294","0"
"02.01.2024 04:45 - 02.01.2024 05:00","1198","0"
"02.01.2024 05:00 - 02.01.2024 05:15","1356","0"
"02.01.2024 05:15 - 02.01.2024 05:30","1414","0"
"02.01.2024 05:30 - 02.01.2024 05:45","1616","0"
"02.01.2024 05:45 - 02.01.2024 06:00","1516","0"
"02.01.2024 06:00 - 02.01.2024 06:15","1374","0"
"02.01.2024 06:15 - 02.01.2024 06:30","1310","0"
"02.01.2024 06:30 - 02.01.2024 06:45","1344","0"
"02.01.2024 06:45 - 02.01.2024 07:00","1237","0"
"02.01.2024 07:00 - 02.01.2024 07:15","1743","0"
"02.01.2024 07:15 - 02.01.2024 07:30","1503","0"
"02.01.2024 07:30 - 02.01.2024 07:45","1472","0"
"02.01.2024 07:45 - 02.01.2024 08:00","1407","0"
"02.01.2024 08:00 - 02.01.2024 08:15","1847","0"
"02.01.2024 08:15 - 02.01.2024 08:30","1709","0"
"02.01.2024 08:30 - 02.01.2024 08:45","1557","0"
"02.01.2024 08:45 - 02.01.2024 09:00","1342","0"
"02.01.2024 09:00 - 02.01.2024 09:15","859","0"
"02.01.2024 09:15 - 02.01.2024 09:30","680","0"
"02.01.2024 09:30 - 02.01.2024 09:45","719","0"
"02.01.2024 09:45 - 02.01.2024 10:00","688","0"
"02.01.2024 10:00 - 02.01.2024 10:15","456","0"
"02.01.2024 10:15 - 02.01.2024 10:30","349","0"
"02.01.2024 10:30 - 02.01.2024 10:45","301","0"
"02.01.2024 10:45 - 02.01.2024 11:00","182","0"
"02.01.2024 11:00 - 02.01.2024 11:15","126","0"
"02.01.2024 11:15 - 02.01.2024 11:30","143","0"
"02.01.2024 11:30 - 02.01.2024 11:45","268","0"
"02.01.2024 11:45 - 02.01.2024 12:00","367","0"
"02.01.2024 12:00 - 02.01.2024 12:15","476","0"
"02.01.2024 12:15 - 02.01.2024 12:30","537","0"
"02.01.2024 12:30 - 02.01.2024 12:45","489","0"
"02.01.2024 12:45 - 02.01.2024 13:00","426","0"
"02.01.2024 13:00 - 02.01.2024 13:15","254","0"
"02.01.2024 13:15 - 02.01.2024 13:30","225","0"
"02.01.2024 13:30 - 02.01.2024 13:45","210","0"
"02.01.2024 13:45 - 02.01.2024 14:00","187","0"
"02.01.2024 14:00 - 02.01.2024 14:15","239","0"
"02.01.2024 14:15 - 02.01.2024 14:30","298","0"
"02.01.2024 14:30 - 02.01.2024 14:45","248","0"
"02.01.2024 14:45 - 02.01.2024 15:00","256","0"
"02.01.2024 15:00 - 02.01.2024 15:15","387","0"
"02.01.2024 15:15 - 02.01.2024 15:30","522","0"
"02.01.2024 15:30 - 02.01.2024 15:45","520","0"
"02.01.2024 15:45 - 02.01.2024 16:00","481","0"
"02.01.2024 16:00 - 02.01.2024 16:15","379","0"
"02.01.2024 16:15 - 02.01.2024 16:30","339","0"
"02.01.2024 16:30 - 02.01.2024 16:45","364","0"
"02.01.2024 16:45 - 02.01.2024 17:00","0","202"
"02.01.2024 17:00 - 02.01.2024 17:15","72","0"
"02.01.2024 17:15 - 02.01.2024 17:30","521","0"
"02.01.2024 17:30 - 02.01.2024 17:45","488","0"
"02.01.2024 17:45 - 02.01.2024 18:00","582","0"
"02.01.2024 18:00 - 02.01.2024 18:15","1484","0"
"02.01.2024 18:15 - 02.01.2024 18:30","1820","0"
"02.01.2024 18:30 - 02.01.2024 18:45","1872","0"
"02.01.2024 18:45 - 02.01.2024 19:00","1855","0"
"02.01.2024 19:00 - 02.01.2024 19:15","1353","0"
"02.01.2024 19:15 - 02.01.2024 19:30","1161","0"
"02.01.2024 19:30 - 02.01.2024 19:45","1164","0"
"02.01.2024 19:45 - 02.01.2024 20:00","1252","0"
"02.01.2024 20:00 - 02.01.2024 20:15","1999","0"
"02.01.2024 20:15 - 02.01.2024 20:30","2135","0"
"02.01.2024 20:30 - 02.01.2024 20:45","2140","0"
"02.01.2024 20:45 - 02.01.2024 21:00","2140","0"
"02.01.2024 21:00 - 02.01.2024 21:15","1800","0"
"02.01.2024 21:15 - 02.01.2024 21:30","1895","0"
"02.01.2024 21:30 - 02.01.2024 21:45","1794","0"
"02.01.2024 21:45 - 02.01.2024 22:00","1751","0"
"02.01.2024 22:00 - 02.01.2024 22:15","2121","0"
"02.01.2024 22:15 - 02.01.2024 22:30","2195","0"
"02.01.2024 22:30 - 02.01.2024 22:45","2222","0"
"02.01.2024 22:45 - 02.01.2024 23:00","2325","0"
"02.01.2024 23:00 - 02.01.2024 23:15","2725","0"
"02.01.2024 23:15 - 02.01.2024 23:30","2419","0"
"02.01.2024 23:30 - 02.01.2024 23:45","2438","0"
"02.01.2024 23:45 - 03.01.2024 00:00","2431","0"
"03.01.2024 00:00 - 03.01.2024 00:15","2638","0"
"03.01.2024 00:15 - 03.01.2024 00:30","2482","0"
"03.01.2024 00:30 - 03.01.2024 00:45","2499","0"
"03.01.2024 00:45 - 03.01.2024 01:00","2411","0"
"03.01.2024 01:00 - 03.01.2024 01:15","2460","0"
"03.01.2024 01:15 - 03.01.2024 01:30","2349","0"
"03.01.2024 01:30 - 03.01.2024 01:45","2462","0"
"03.01.2024 01:45 - 03.01.2024 02:00","2559","0"
"03.01.2024 02:00 - 03.01.2024 02:15","2393","0"
"03.01.2024 02:15 - 03.01.2024 02:30","2419","0"
"03.01.2024 02:30 - 03.01.2024 02:45","2474","0"
"03.01.2024 02:45 - 03.01.2024 03:00","2494","0"
"03.01.2024 03:00 - 03.01.2024 03:15","2401","0"
"03.01.2024 03:15 - 03.01.2024 03:30","2507","0"
"03.01.2024 03:30 - 03.01.2024 03:45","2437","0"
"03.01.2024 03:45 - 03.01.2024 04:00","2380","0"
"03.01.2024 04:00 - 03.01.2024 04:15","2153","0"
"03.01.2024 04:15 - 03.01.2024 04:30","2212","0"
"03.01.2024 04:30 - 03.01.2024 04:45","2167","0"
"03.01.2024 04:45 - 03.01.2024 05:00","2172","0"
"03.01.2024 05:00 - 03.01.2024 05:15","2016","0"
"03.01.2024 05:15 - 03.01.2024 05:30","2001","0"
"03.01.2024 05:30 - 03.01.2024 05:45","1991","0"
"03.01.2024 05:45 - 03.01.2024 06:00","1855","0"
"03.01.2024 06:00 - 03.01.2024 06:15","1733","0"
"03.01.2024 06:15 - 03.01.2024 06:30","1665","0"
"03.01.2024 06:30 - 03.01.2024 06:45","1667","0"
"03.01.2024 06:45 - 03.01.2024 07:00","1719","0"
"03.01.2024 07:00 - 03.01.2024 07:15","2063","0"
"03.01.2024 07:15 - 03.01.2024 07:30","2058","0"
